Comment
Öncelikle trendyol çalışanlarına teşekkür ederim. Paketleme kargo çok güzel bir şekilde elime ulaştı. Güvenerek alabilirsiniz. Herşeyiyle harika bir telefon.
Teşekkürler sorunsuz geldi
Hızlı teslimat güvenilir satıcı
Telefonu anlatmaya gerek yok memnun kaldım
Teşekkürler sorunsuz geldi
GÜZEL
Oğlum için aldım çok beğendi
Çok teşekkür ederim  sorunsuz elime ulaştı
Mükemmel apple kalitesi

